"NICODE","INSTCODE","ACCENUMB","COLLNUMB","COLLCODE","GENUS","SPECIES","SPAUTHOR","SUBTAXA","SUBTAUTHOR","CROPNAME","ACCENAME","ACQDATE","ORIGCTY","COLLSITE","LATTITUDE","LONGITUDE","ELEVATION","COLLDATE","BREDCODE","SAMPSTAT","ANCEST","COLLSRC","DONORCODE","DONORNUMBER","OTHERNUMB","DUPLSITE","STORAGE ","REMARKS","COLLDESCR","BREDDESCR","DONORDESCR","DUPLDESCR","ACCEURL","MLSSTAT","AEGISSTAT","SMTAINST","SMTANUMB","SMTADATE","SMTACCE","SMTAGENUS","SMTARECIP","SMTAREMARK"
BIH,BIH039,GB00527,BDJ-3-7,BIH039,Trifolium,repens,L.,,,White clover,Bijela djetelina,20090709,,Nevesinje,431444N,0181833E,883,20080717,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00528,BDJ-3-8,BIH039,Trifolium ,pratense,L.,,,Red clover,Crvena djetelina,20090709,,Mountain _i_a (Ribnik),434155N,0162516E,1085,20080721,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00529,BDJ-3-9,BIH039,Festuca,pratensis,Huds.,,,Meadow fescue,Livadski vijuk,20090709,,Village Donje Ratkovo,443614N,0165702E,791,20080724,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00530,BDJ-3-10,BIH039,Festuca,pratensis,Huds.,,,Meadow fescue,Livadski vijuk,20090709,,Village Gornje Ratkovo,443635N,0165741E,835,20080831,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00531,BDJ-3-11,BIH039,Trifolium,repens,L.,,,White clover,Bijela djetelina,20090709,,Mlini_ta,441754N,0165425E,1114,20080808,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00532,BDJ-3-12,BIH039,Trifolium,pratense,L.,,,Red clover,Crvena djetelina,20090709,,Mlini_ta,442152N,0162125E,1114,20080808,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00533,BDJ-3-13,BIH039,Festuca,pratensis,Huds.,,,Meadow fescue,Livadski vijuk,20090709,,Nevesinje,431806N,0180542E,861,20080814,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00534,BDJ-3-14,BIH039,Trifolium,pratense,L.,,,Red clover,Crvena djetelina,20090709,,Nevesinje,431746N,0181232E,867,20080815,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00535,BDJ-3-15,BIH039,Trifolium,pratense,L.,,,Red clover,Crvena djetelina,20090709,,Vla_i?,442404N,0172942E,1128,20080818,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00536,BDJ-3-16,BIH039,Festuca,pratensis,Huds.,,,Meadow fescue,Livadski vijuk,20090709,,Srebrenik,442834N,0172605E,1107,20080819,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
